TAZ_O,year,Pop,FT_wrk,Stu,HH,Jobs,Cars
1,1986,4885,2322,2943,1889.0,,2295
1,1991,5396,2790,744,2233.0,1211.0,2977
1,1996,4967,2257,3027,2177.0,888.0,2750
1,2001,3932,1820,1376,1829.0,1509.0,2151
1,2006,4607,2086,1316,1931.0,1142.0,2261
1,2011,4511,2107,1163,1899.0,893.0,2623
1,2016,4523,2306,1327,2338.0,718.0,2871
2,1986,5635,2570,1887,2113.0,,3048
2,1991,3722,1116,0,1861.0,696.0,2047
2,1996,5158,1903,1861,1966.0,784.0,2769
2,2001,5046,2181,1085,2050.0,1154.0,2865
2,2006,5236,2143,2045,2102.0,989.0,2750
2,2011,5251,2244,1748,1851.0,659.0,2917
2,2016,5311,2202,2537,2058.0,560.0,2934
3,1986,0,0,0,,,0
3,1991,0,0,0,,5274.0,0
3,1996,0,0,0,,6908.0,0
3,2001,0,0,0,,5618.0,0
3,2006,0,0,0,,6166.0,0
3,2011,282,147,89,151.0,7136.0,197
3,2016,1832,1164,732,1059.0,7369.0,1242
4,1986,0,0,0,,,0
4,1991,0,0,0,,3192.0,0
4,1996,0,0,0,,2732.0,0
4,2001,0,0,0,,1987.0,0
4,2006,0,0,0,,2702.0,0
4,2011,0,0,0,,3830.0,0
4,2016,0,0,0,,3564.0,0
5,1986,158,68,181,90.0,,69
5,1991,0,0,0,,5180.0,0
5,1996,155,22,44,44.0,4569.0,44
5,2001,22,22,0,22.0,5537.0,22
5,2006,75,0,0,50.0,4440.0,25
5,2011,18,0,0,18.0,4223.0,0
5,2016,0,0,0,,4261.0,0
6,1986,6657,3317,2547,2295.0,,3430
6,1991,7071,2418,2233,2419.0,4458.0,3722
6,1996,6469,2538,868,2558.0,4185.0,3532
6,2001,7114,2930,1958,2685.0,3589.0,3923
6,2006,6102,2399,1215,2434.0,4050.0,3324
6,2011,6131,2399,1586,2241.0,4706.0,3267
6,2016,6625,2954,1351,2435.0,4237.0,3786
7,1986,5827,3132,1404,2238.0,,2643
7,1991,5210,2418,2046,2233.0,449.0,2790
7,1996,5205,2159,1702,2236.0,621.0,2475
7,2001,5372,2584,1207,2398.0,594.0,2891
7,2006,5880,2787,1448,2435.0,540.0,3117
7,2011,4907,2382,2411,1966.0,514.0,2789
7,2016,5507,2850,2058,2477.0,1029.0,2973
8,1986,5026,2438,708,2172.0,,2631
8,1991,6327,4094,744,2791.0,474.0,2977
8,1996,5258,2267,2051,2334.0,1564.0,2527
8,2001,4138,1870,1647,1722.0,1405.0,1818
8,2006,4277,1904,1226,2082.0,1809.0,2165
8,2011,4524,2061,1308,2133.0,1845.0,2527
8,2016,4926,2581,1412,2334.0,2522.0,2868
9,1986,4592,2222,1928,1759.0,,1734
9,1991,4838,2046,0,1861.0,4837.0,1674
9,1996,6697,2125,2666,2547.0,2860.0,2264
9,2001,6396,2760,1755,2841.0,2292.0,2375
9,2006,6458,2349,1793,2729.0,3459.0,2349
9,2011,6372,2357,2962,2625.0,2687.0,2598
9,2016,6396,2568,1132,3037.0,3414.0,2291
10,1986,545,296,318,159.0,,341
10,1991,930,186,0,186.0,8608.0,372
10,1996,826,297,212,318.0,7529.0,401
10,2001,1031,474,647,324.0,6235.0,421
10,2006,1357,621,276,460.0,7140.0,736
10,2011,1160,513,138,433.0,6316.0,727
10,2016,1300,707,213,468.0,7689.0,766
11,1986,1958,1161,365,592.0,,1142
11,1991,1931,644,0,644.0,3580.0,644
11,1996,1619,687,266,621.0,5071.0,753
11,2001,1540,624,804,659.0,5057.0,794
11,2006,2636,978,1255,929.0,4040.0,1379
11,2011,1315,672,363,553.0,3582.0,650
11,2016,2032,1070,537,1108.0,3936.0,1042
12,1986,1526,572,410,478.0,,570
12,1991,0,0,0,,4375.0,0
12,1996,1131,443,201,355.0,4473.0,555
12,2001,984,392,446,338.0,4437.0,540
12,2006,1732,903,903,678.0,4364.0,752
12,2011,1691,858,299,724.0,3862.0,989
12,2016,3668,1942,1999,1512.0,3634.0,2039
13,1986,5078,2051,1413,2049.0,,2709
13,1991,1609,322,0,805.0,49.0,966
13,1996,3936,1459,548,1672.0,471.0,2244
13,2001,4452,1515,670,1786.0,2795.0,2488
13,2006,3756,1165,1506,1603.0,755.0,2155
13,2011,4872,2052,1740,1821.0,1052.0,2503
13,2016,4818,1995,1793,1703.0,1054.0,2493
14,1986,5510,2460,1365,1958.0,,2866
14,1991,7080,2736,2414,2575.0,5567.0,3542
14,1996,5544,2134,1460,2201.0,4996.0,2688
14,2001,6281,2862,1179,2765.0,3979.0,3431
14,2006,5743,2207,1356,2608.0,4898.0,3306
14,2011,7039,3214,3691,2625.0,4780.0,3954
14,2016,5849,2849,919,2623.0,4156.0,3592
15,1986,3727,1818,821,1438.0,,1671
15,1991,1303,372,0,744.0,772.0,558
15,1996,2543,974,742,1293.0,405.0,1208
15,2001,3046,1263,1046,1338.0,319.0,1245
15,2006,2737,828,1173,1357.0,519.0,1196
15,2011,2612,1101,733,1201.0,678.0,1365
15,2016,3592,2051,671,2019.0,514.0,2377
16,1986,11094,5609,4112,4784.0,,5630
16,1991,11344,4425,4835,4186.0,1766.0,4537
16,1996,8417,3603,2189,3953.0,898.0,3905
16,2001,14912,7204,5723,6901.0,1700.0,8188
16,2006,9377,4058,3295,4486.0,1639.0,4685
16,2011,10825,5074,4663,4504.0,2223.0,5458
16,2016,9992,5205,2499,4707.0,1542.0,6220
17,1986,1937,1203,647,1057.0,,1055
17,1991,4799,2218,1497,2554.0,476.0,2452
17,1996,7279,3476,2335,3663.0,692.0,3641
17,2001,1740,644,1524,693.0,489.0,605
17,2006,5479,2423,1810,3238.0,792.0,3125
17,2011,5424,2202,1721,2839.0,816.0,2865
17,2016,5670,2647,1795,3388.0,1034.0,3032
18,1986,1659,885,45,704.0,,886
18,1991,2296,929,335,1006.0,3070.0,1292
18,1996,2225,1164,847,1017.0,2442.0,1506
18,2001,2910,1382,552,1490.0,1727.0,2034
18,2006,5681,3266,759,2990.0,2287.0,4117
18,2011,7300,3736,1531,3772.0,2223.0,4529
18,2016,12494,7494,1456,7322.0,1235.0,9071
19,1986,4941,2780,707,2163.0,,2686
19,1991,5471,1931,644,2414.0,161.0,2414
19,1996,6823,2824,4129,2825.0,334.0,3000
19,2001,6201,2933,2156,2657.0,437.0,2862
19,2006,6299,2822,2774,2728.0,499.0,2884
19,2011,6229,2502,3011,2555.0,797.0,2659
19,2016,4987,2186,2476,2555.0,479.0,2447
20,1986,4372,1823,1368,2049.0,,2689
20,1991,6759,2415,644,2736.0,187.0,4506
20,1996,5231,2113,1318,2176.0,561.0,2909
20,2001,4644,2000,1291,1986.0,1030.0,2548
20,2006,5193,2228,1285,2048.0,885.0,3054
20,2011,7440,3220,2092,2971.0,813.0,4664
20,2016,6150,2494,2270,2404.0,734.0,3529
21,1986,2527,980,753,1070.0,,1252
21,1991,2736,966,966,1287.0,847.0,1449
21,1996,2071,690,877,774.0,846.0,941
21,2001,2686,1136,1430,1014.0,1115.0,1477
21,2006,2587,1054,1116,1069.0,1061.0,1545
21,2011,2882,922,1114,1202.0,770.0,1551
21,2016,3082,1289,1388,1168.0,681.0,1577
22,1986,2598,1061,587,1017.0,,1467
22,1991,3898,1365,585,1364.0,9164.0,2535
22,1996,3371,1375,689,1375.0,8944.0,1996
22,2001,3741,1566,1062,1602.0,8542.0,1979
